Date,open,high,low,close
2024-06-06 01:00:00,2356.8,2357.79,2355.07,2356.96
2024-06-06 02:00:00,2356.96,2357.59,2354.78,2355.04
2024-06-06 03:00:00,2355.04,2356.03,2354.62,2355.76
2024-06-06 04:00:00,2355.73,2373.06,2355.62,2367.51
2024-06-06 05:00:00,2367.51,2374.7,2365.18,2374.43
2024-06-06 06:00:00,2374.51,2374.98,2367.69,2368.53
2024-06-06 07:00:00,2368.53,2370.59,2366.9,2369.49
2024-06-06 08:00:00,2369.48,2371.46,2366.42,2367.77
2024-06-06 09:00:00,2367.8,2368.01,2363.23,2367.15
2024-06-06 10:00:00,2367.11,2368.33,2362.26,2362.94
2024-06-06 11:00:00,2362.92,2363.2,2359.81,2362.98
2024-06-06 12:00:00,2362.97,2363.93,2358.57,2361.63
2024-06-06 13:00:00,2361.63,2361.95,2359.49,2361.09
2024-06-06 14:00:00,2361.09,2362.02,2359.23,2359.84
2024-06-06 15:00:00,2359.85,2365.06,2355.32,2357.59
2024-06-06 16:00:00,2357.61,2366.89,2353.44,2360.56
2024-06-06 17:00:00,2360.59,2366.34,2358.6,2364.3
2024-06-06 18:00:00,2364.21,2378.5,2364.13,2374.24
2024-06-06 19:00:00,2374.4,2376.92,2370.4,2372.9
2024-06-06 20:00:00,2372.91,2374.03,2370.76,2373.18
2024-06-06 21:00:00,2373.19,2373.66,2368.88,2372.11
2024-06-06 22:00:00,2372.09,2375.5,2371.25,2372.66
2024-06-06 23:00:00,2372.53,2376.18,2372.33,2375.68
2024-06-07 01:00:00,2376.34,2377.16,2375.67,2377.0
2024-06-07 02:00:00,2377.0,2378.21,2376.32,2376.78
2024-06-07 03:00:00,2376.78,2379.28,2376.03,2378.45
2024-06-07 04:00:00,2378.49,2380.04,2370.23,2371.04
2024-06-07 05:00:00,2371.04,2378.21,2369.47,2376.64
2024-06-07 06:00:00,2376.63,2381.99,2375.19,2380.18
2024-06-07 07:00:00,2380.11,2387.49,2379.27,2386.55
2024-06-07 08:00:00,2386.59,2387.69,2375.17,2375.99
2024-06-07 09:00:00,2375.91,2377.79,2372.93,2375.49
2024-06-07 10:00:00,2375.49,2379.32,2372.83,2373.62
2024-06-07 11:00:00,2373.55,2373.93,2343.01,2347.37
2024-06-07 12:00:00,2347.36,2347.99,2337.49,2339.33
2024-06-07 13:00:00,2339.38,2339.38,2332.12,2333.68
2024-06-07 14:00:00,2333.66,2339.36,2330.92,2336.61
2024-06-07 15:00:00,2336.6,2339.35,2313.31,2319.33
2024-06-07 16:00:00,2319.31,2328.08,2305.12,2309.47
2024-06-07 17:00:00,2309.55,2320.96,2307.67,2313.36
2024-06-07 18:00:00,2313.37,2315.5,2304.36,2304.92
2024-06-07 19:00:00,2304.92,2314.46,2303.1,2311.67
2024-06-07 20:00:00,2311.71,2312.31,2303.79,2305.5
2024-06-07 21:00:00,2305.67,2307.17,2300.02,2301.47
2024-06-07 22:00:00,2301.5,2301.5,2287.67,2288.3
