Date,open,high,low,close,tick_volume
2020-06-01 01:00:00,1735.4,1738.53,1730.92,1738.44,880
2020-06-01 01:15:00,1738.41,1739.69,1735.97,1738.45,583
2020-06-01 01:30:00,1738.45,1739.35,1737.72,1739.07,397
2020-06-01 01:45:00,1739.07,1739.43,1737.18,1738.41,372
2020-06-01 02:00:00,1738.4,1740.05,1738.21,1739.36,385
2020-06-01 02:15:00,1739.36,1740.22,1738.93,1739.17,247
2020-06-01 02:30:00,1739.17,1739.61,1738.61,1739.13,200
2020-06-01 02:45:00,1739.13,1740.36,1738.9,1739.58,238
2020-06-01 03:00:00,1739.58,1739.64,1736.69,1736.93,312
2020-06-01 03:15:00,1736.95,1737.22,1735.48,1736.13,769
2020-06-01 03:30:00,1736.13,1737.08,1735.42,1736.4,478
2020-06-01 03:45:00,1736.4,1736.52,1734.4,1735.11,500
2020-06-01 04:00:00,1735.19,1738.43,1733.82,1734.92,1771
2020-06-01 04:15:00,1734.92,1735.89,1732.03,1733.36,1139
2020-06-01 04:30:00,1733.26,1735.83,1732.56,1735.62,774
2020-06-01 04:45:00,1735.65,1738.5,1735.65,1737.02,805
2020-06-01 05:00:00,1737.02,1737.72,1736.67,1736.67,659
2020-06-01 05:15:00,1736.65,1739.82,1736.63,1739.76,650
2020-06-01 05:30:00,1739.75,1740.58,1739.12,1739.63,887
2020-06-01 05:45:00,1739.63,1740.06,1738.85,1738.85,241
2020-06-01 06:00:00,1738.85,1738.85,1737.74,1737.85,160
2020-06-01 06:15:00,1737.85,1738.54,1737.3,1738.49,272
2020-06-01 06:30:00,1738.49,1738.8,1738.03,1738.7,192
2020-06-01 06:45:00,1738.7,1739.21,1738.64,1739.1,119
2020-06-01 07:00:00,1739.1,1740.81,1739.1,1740.81,133
2020-06-01 07:15:00,1740.81,1742.11,1740.21,1741.77,511
2020-06-01 07:30:00,1741.87,1743.18,1741.13,1742.58,818
2020-06-01 07:45:00,1742.58,1743.12,1741.49,1741.67,808
2020-06-01 08:00:00,1741.67,1742.56,1741.2,1741.55,342
2020-06-01 08:15:00,1741.55,1742.77,1741.55,1742.46,464
2020-06-01 08:30:00,1742.42,1743.86,1741.55,1743.53,733
2020-06-01 08:45:00,1743.54,1744.51,1742.76,1743.61,636
2020-06-01 09:00:00,1743.65,1743.85,1741.89,1742.32,708
2020-06-01 09:15:00,1742.32,1743.59,1741.92,1742.55,861
2020-06-01 09:30:00,1742.55,1743.18,1741.44,1741.68,845
2020-06-01 09:45:00,1741.68,1742.41,1741.03,1742.0,733
2020-06-01 10:00:00,1742.06,1742.19,1740.26,1740.57,1202
2020-06-01 10:15:00,1740.57,1741.43,1739.44,1740.81,1061
2020-06-01 10:30:00,1740.81,1740.9,1737.71,1737.93,829
2020-06-01 10:45:00,1737.93,1740.31,1737.22,1740.14,884
2020-06-01 11:00:00,1740.24,1743.78,1738.49,1742.68,1274
2020-06-01 11:15:00,1742.68,1743.16,1738.52,1738.52,1160
2020-06-01 11:30:00,1738.59,1739.25,1737.82,1738.16,844
2020-06-01 11:45:00,1738.13,1738.57,1734.59,1736.6,1222
2020-06-01 12:00:00,1736.58,1737.87,1735.8,1737.3,719
2020-06-01 12:15:00,1737.3,1738.41,1736.17,1736.74,572
2020-06-01 12:30:00,1736.74,1737.13,1735.3,1736.31,640
2020-06-01 12:45:00,1736.31,1736.72,1735.43,1736.03,475
2020-06-01 13:00:00,1736.05,1736.05,1732.14,1733.81,790
2020-06-01 13:15:00,1733.77,1735.77,1733.31,1735.19,686
2020-06-01 13:30:00,1735.16,1736.2,1734.3,1734.51,728
2020-06-01 13:45:00,1734.51,1735.75,1733.24,1734.45,634
2020-06-01 14:00:00,1734.3,1734.54,1731.47,1733.08,971
2020-06-01 14:15:00,1733.07,1733.6,1729.94,1730.3,1304
2020-06-01 14:30:00,1730.3,1733.53,1729.18,1733.48,1377
2020-06-01 14:45:00,1733.53,1734.61,1732.7,1734.35,708
2020-06-01 15:00:00,1734.35,1734.6,1731.08,1731.3,1254
2020-06-01 15:15:00,1731.24,1735.42,1730.86,1734.4,1448
2020-06-01 15:30:00,1734.3,1735.77,1732.74,1735.13,1483
2020-06-01 15:45:00,1735.13,1735.47,1732.91,1733.13,1045
2020-06-01 16:00:00,1733.13,1733.82,1728.54,1730.75,1984
2020-06-01 16:15:00,1730.75,1733.08,1730.26,1732.96,1398
2020-06-01 16:30:00,1732.87,1735.69,1732.15,1735.26,2462
2020-06-01 16:45:00,1735.28,1735.81,1732.3,1732.55,1909
2020-06-01 17:00:00,1732.49,1735.56,1726.84,1734.44,2486
2020-06-01 17:15:00,1734.44,1735.12,1732.92,1734.63,2458
2020-06-01 17:30:00,1734.63,1734.84,1732.6,1734.01,1714
2020-06-01 17:45:00,1733.83,1738.51,1733.23,1737.89,2423
2020-06-01 18:00:00,1737.86,1738.43,1736.06,1737.95,2211
2020-06-01 18:15:00,1737.95,1738.47,1735.72,1738.45,1505
2020-06-01 18:30:00,1738.45,1741.34,1738.4,1741.24,1989
2020-06-01 18:45:00,1741.24,1741.53,1737.79,1740.47,1671
2020-06-01 19:00:00,1740.46,1741.39,1739.17,1739.42,1466
2020-06-01 19:15:00,1739.34,1740.05,1738.1,1739.13,1294
2020-06-01 19:30:00,1739.1,1739.96,1738.89,1739.84,661
2020-06-01 19:45:00,1739.79,1740.26,1738.33,1738.7,1016
2020-06-01 20:00:00,1738.72,1738.87,1736.62,1737.28,1246
2020-06-01 20:15:00,1737.28,1737.9,1736.43,1737.38,1310
2020-06-01 20:30:00,1737.32,1737.74,1736.05,1736.91,1064
2020-06-01 20:45:00,1736.94,1737.41,1735.25,1736.73,843
2020-06-01 21:00:00,1736.77,1737.5,1736.47,1736.98,616
2020-06-01 21:15:00,1737.03,1737.73,1736.55,1737.59,943
2020-06-01 21:30:00,1737.59,1738.61,1735.76,1736.16,886
2020-06-01 21:45:00,1736.16,1737.34,1734.76,1737.17,734
2020-06-01 22:00:00,1737.17,1738.86,1737.13,1738.81,948
2020-06-01 22:15:00,1738.81,1739.28,1738.54,1738.79,1085
2020-06-01 22:30:00,1738.79,1740.17,1738.33,1739.87,1208
2020-06-01 22:45:00,1739.53,1740.61,1738.52,1739.97,2157
2020-06-01 23:00:00,1739.97,1740.17,1738.67,1739.05,286
2020-06-01 23:15:00,1739.11,1739.48,1738.67,1739.3,241
2020-06-01 23:30:00,1739.37,1739.44,1738.54,1738.7,197
2020-06-01 23:45:00,1738.63,1740.01,1738.36,1739.48,169
2020-06-02 01:00:00,1737.81,1738.17,1737.33,1738.07,139
2020-06-02 01:15:00,1738.14,1740.17,1737.94,1739.48,241
2020-06-02 01:30:00,1739.5,1740.68,1739.5,1739.9,238
2020-06-02 01:45:00,1739.88,1740.39,1739.31,1739.94,192
